Project Name,Revision ID,API Type,Commit Type,Note,Log
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,Merging,Bug Fix,,implemented clean deep smoother. fixed some visualization issues.
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,Activation,Bug Fix,,implemented clean deep smoother. fixed some visualization issues.
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,Convolutional,Bug Fix,,implemented clean deep smoother. fixed some visualization issues.
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,,Feature,,implemented clean deep smoother. fixed some visualization issues.
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,Merging,Feature,,implemented clean deep smoother. fixed some visualization issues.
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,Activation,Feature,,implemented clean deep smoother. fixed some visualization issues.
uncbiag/mermaid,769ac5ad44fd0d74c93f9ef2207ac66effa5b0ad,Convolutional,Feature,,implemented clean deep smoother. fixed some visualization issues.
ellisdg/3DUnetCNN,902269d21cd2ae252529741f20b7aa6a7b1fe8f5,Convolutional,Other,,remove bn + prelu in segmentation layers
keras-team/keras-contrib,14ddf27ad41cc18bc9e698ec7b016505429b6730,,Other,,removed the code in tf for conv2d. (#383)
keras-team/keras-contrib,14ddf27ad41cc18bc9e698ec7b016505429b6730,Convolutional,Other,,removed the code in tf for conv2d. (#383)
bethesirius/ChosunTruck,64d70a803d2d403326324954775aa4f6f27a5d89,,Deprecate,,cleaned up some cruft in train.py.
bethesirius/ChosunTruck,64d70a803d2d403326324954775aa4f6f27a5d89,Dropout,Deprecate,,cleaned up some cruft in train.py.
bethesirius/ChosunTruck,64d70a803d2d403326324954775aa4f6f27a5d89,Convolutional,Deprecate,,cleaned up some cruft in train.py.
bethesirius/ChosunTruck,64d70a803d2d403326324954775aa4f6f27a5d89,Initializer,Deprecate,,cleaned up some cruft in train.py.
bethesirius/ChosunTruck,64d70a803d2d403326324954775aa4f6f27a5d89,Sparse,Deprecate,,cleaned up some cruft in train.py.
nerox8664/pytorch2keras,62712af1636f620def1f0ac4f129535b9aceaacb,,Bug Fix,,fixed error with padding for group conv2d.
nerox8664/pytorch2keras,62712af1636f620def1f0ac4f129535b9aceaacb,Linear,Bug Fix,,fixed error with padding for group conv2d.
nerox8664/pytorch2keras,62712af1636f620def1f0ac4f129535b9aceaacb,Reshaping,Bug Fix,,fixed error with padding for group conv2d.
nerox8664/pytorch2keras,62712af1636f620def1f0ac4f129535b9aceaacb,Convolutional,Bug Fix,,fixed error with padding for group conv2d.
f-dangel/backpack,9d89793ca4e7e9f13deddbc96618d5e0c761e935,,Test,,add convtranspose2d jac_t_mat_prod and tests
f-dangel/backpack,9d89793ca4e7e9f13deddbc96618d5e0c761e935,Convolutional,Test,,add convtranspose2d jac_t_mat_prod and tests
f-dangel/backpack,9d89793ca4e7e9f13deddbc96618d5e0c761e935,,Feature,,add convtranspose2d jac_t_mat_prod and tests
f-dangel/backpack,9d89793ca4e7e9f13deddbc96618d5e0c761e935,Convolutional,Feature,,add convtranspose2d jac_t_mat_prod and tests
ibab/tensorflow-wavenet,611ab1c19a4fc64d3ed1f96650a81813ac9d86c8,,Feature,,add script for generating audio
ibab/tensorflow-wavenet,611ab1c19a4fc64d3ed1f96650a81813ac9d86c8,Activation,Feature,,add script for generating audio
ibab/tensorflow-wavenet,611ab1c19a4fc64d3ed1f96650a81813ac9d86c8,Convolutional,Feature,,add script for generating audio
juliusfrost/dreamer-pytorch,44ffc194e35ee1c1b25e5fc1d714624c967c117e,,Feature,,added observation model adaptation to different image sizes. added dimension calculation for embedding shape.
juliusfrost/dreamer-pytorch,44ffc194e35ee1c1b25e5fc1d714624c967c117e,Linear,Feature,,added observation model adaptation to different image sizes. added dimension calculation for embedding shape.
juliusfrost/dreamer-pytorch,44ffc194e35ee1c1b25e5fc1d714624c967c117e,Convolutional,Feature,,added observation model adaptation to different image sizes. added dimension calculation for embedding shape.
OMR-Research/MeasureDetector,76cf35de36b3d5a10255c54b2e54500048c79b47,,Refactor,,add named arguments to tf.concat and use conv2d instead of convolution2d
OMR-Research/MeasureDetector,76cf35de36b3d5a10255c54b2e54500048c79b47,Linear,Refactor,,add named arguments to tf.concat and use conv2d instead of convolution2d
OMR-Research/MeasureDetector,76cf35de36b3d5a10255c54b2e54500048c79b47,Convolutional,Refactor,,add named arguments to tf.concat and use conv2d instead of convolution2d
captain-pool/GSOC,bb73359e47052be16f28d8e681f754aeb1f0d139,,Feature,,added multi gpu support for phase 2 of training. added docstrings for functions in lib/dataset.py
captain-pool/GSOC,bb73359e47052be16f28d8e681f754aeb1f0d139,Convolutional,Feature,,added multi gpu support for phase 2 of training. added docstrings for functions in lib/dataset.py
captain-pool/GSOC,bb73359e47052be16f28d8e681f754aeb1f0d139,,Resource,,added multi gpu support for phase 2 of training. added docstrings for functions in lib/dataset.py
captain-pool/GSOC,bb73359e47052be16f28d8e681f754aeb1f0d139,Convolutional,Resource,,added multi gpu support for phase 2 of training. added docstrings for functions in lib/dataset.py
kumar-shridhar/PyTorch-BayesianCNN,668e1e11a0e76e9d57f5ea7c7000b6e95d8f5b55,,Feature,,change implementation of bayesian layers to bbb_lrt
kumar-shridhar/PyTorch-BayesianCNN,668e1e11a0e76e9d57f5ea7c7000b6e95d8f5b55,Linear,Feature,,change implementation of bayesian layers to bbb_lrt
kumar-shridhar/PyTorch-BayesianCNN,668e1e11a0e76e9d57f5ea7c7000b6e95d8f5b55,Convolutional,Feature,,change implementation of bayesian layers to bbb_lrt
leVirve/pixel-styler,aa26d40a34cfc62cb209bb8c471643e7779e016a,,Feature,,initialized bias of conv to zero \ndeactivated bias for the conv layers which are followed by batch normalization.
leVirve/pixel-styler,aa26d40a34cfc62cb209bb8c471643e7779e016a,Convolutional,Feature,,initialized bias of conv to zero \ndeactivated bias for the conv layers which are followed by batch normalization.
leVirve/pixel-styler,aa26d40a34cfc62cb209bb8c471643e7779e016a,,Other,,initialized bias of conv to zero \ndeactivated bias for the conv layers which are followed by batch normalization.
leVirve/pixel-styler,aa26d40a34cfc62cb209bb8c471643e7779e016a,Convolutional,Other,,initialized bias of conv to zero \ndeactivated bias for the conv layers which are followed by batch normalization.
few-shot-learning/Keras-FewShotLearning,d2917356af246aeefeeb1d3af78dbe017ad25bfe,,Feature,,add use_bias args in mixednorms
few-shot-learning/Keras-FewShotLearning,d2917356af246aeefeeb1d3af78dbe017ad25bfe,Linear,Feature,,add use_bias args in mixednorms
few-shot-learning/Keras-FewShotLearning,d2917356af246aeefeeb1d3af78dbe017ad25bfe,Convolutional,Feature,,add use_bias args in mixednorms
tensorpack/tensorpack,01245d68c30c223bb598d91b390d41abc7f94640,,Refactor,,deprecate \bilinearupsample\" and move it to examples."
tensorpack/tensorpack,01245d68c30c223bb598d91b390d41abc7f94640,Convolutional,Refactor,,deprecate \bilinearupsample\" and move it to examples."
matiaslindgren/lidbox,07092790ec4296efccf3dd28a7c44ccf96e31afc,,Feature,,use 1d spatial dropout layer for channel dropout
matiaslindgren/lidbox,07092790ec4296efccf3dd28a7c44ccf96e31afc,Linear,Feature,,use 1d spatial dropout layer for channel dropout
matiaslindgren/lidbox,07092790ec4296efccf3dd28a7c44ccf96e31afc,Convolutional,Feature,,use 1d spatial dropout layer for channel dropout
MehmetAygun/fusenet-pytorch,f82ecad17f972b50e0ba166a719d58dd5ac75136,Convolutional,Other,good example,change unpool with conv2dtranspose
fancompute/wavetorch,ab2661c7a0d85b781f86e85bbf4561e16a2b7807,,Refactor,,moved conv kernels out of functions
fancompute/wavetorch,ab2661c7a0d85b781f86e85bbf4561e16a2b7807,Activation,Refactor,,moved conv kernels out of functions
fancompute/wavetorch,ab2661c7a0d85b781f86e85bbf4561e16a2b7807,Convolutional,Refactor,,moved conv kernels out of functions
CannyLab/rinokeras,290ed59e94b0bcc8c39ab96bab4e95b66675f06f,,Feature,,added regularization to  attention layers.
CannyLab/rinokeras,290ed59e94b0bcc8c39ab96bab4e95b66675f06f,Linear,Feature,,added regularization to  attention layers.
CannyLab/rinokeras,290ed59e94b0bcc8c39ab96bab4e95b66675f06f,Convolutional,Feature,,added regularization to  attention layers.
CannyLab/rinokeras,290ed59e94b0bcc8c39ab96bab4e95b66675f06f,Temporal,Feature,,added regularization to  attention layers.
mrahtz/ocd-a3c,9136be98f4d73c69668de489fd5614067bef07b3,,Other,,switch to reduce_mean instead of reduce_sum
mrahtz/ocd-a3c,9136be98f4d73c69668de489fd5614067bef07b3,Convolutional,Other,,switch to reduce_mean instead of reduce_sum
f-dangel/backpack,3cea3fbe08fa6087a54f79f9664b52651c08da06,,Feature,,[hbp] untested kfra backpropagation for avgpool2d
f-dangel/backpack,3cea3fbe08fa6087a54f79f9664b52651c08da06,Convolutional,Feature,,[hbp] untested kfra backpropagation for avgpool2d
f-dangel/backpack,3cea3fbe08fa6087a54f79f9664b52651c08da06,Pooling,Feature,,[hbp] untested kfra backpropagation for avgpool2d
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,,Bug Fix,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,Linear,Bug Fix,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,Pooling,Bug Fix,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,Convolutional,Bug Fix,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,,Feature,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,Linear,Feature,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,Pooling,Feature,,fix sound segmentation + added full spectrogram creation
HPI-DeepLearning/crnn-lid,46d541cf951d123ef74006d42a63460daee8fb98,Convolutional,Feature,,fix sound segmentation + added full spectrogram creation
rwightman/pytorch-image-models,f17b42bc33eca08308192f4079f8f609dada81db,,Feature,,blur filter no longer a buffer
rwightman/pytorch-image-models,f17b42bc33eca08308192f4079f8f609dada81db,Convolutional,Feature,,blur filter no longer a buffer
jinserk/pytorch-asr,4d3638241dc84a6863a34de926111a14a8e8e3e4,,Feature,,test skip connection to rnn layers in deepspeech_ctc
jinserk/pytorch-asr,4d3638241dc84a6863a34de926111a14a8e8e3e4,Linear,Feature,,test skip connection to rnn layers in deepspeech_ctc
jinserk/pytorch-asr,4d3638241dc84a6863a34de926111a14a8e8e3e4,Training,Feature,,test skip connection to rnn layers in deepspeech_ctc
jinserk/pytorch-asr,4d3638241dc84a6863a34de926111a14a8e8e3e4,Convolutional,Feature,,test skip connection to rnn layers in deepspeech_ctc
kozistr/Awesome-GANs,9e3b3e742767d348ce9572e0b84bea104f62a4cf,Training,Other,,edit loss function and change optimizer
kozistr/Awesome-GANs,9e3b3e742767d348ce9572e0b84bea104f62a4cf,Training,Feature,,edit loss function and change optimizer
jackyko1991/vnet-tensorflow,ca452164f37bd3e61e5282e91ecc42805f937ab7,Convolutional,Feature,,weighted loss updaetd to manual setting
f-dangel/backpack,4404f048e3377e98c1fee5403e194558c41ac8f3,,Refactor,,[refactor] clean avgpool2dderivatives
f-dangel/backpack,4404f048e3377e98c1fee5403e194558c41ac8f3,Convolutional,Refactor,,[refactor] clean avgpool2dderivatives
f-dangel/backpack,4404f048e3377e98c1fee5403e194558c41ac8f3,Pooling,Refactor,,[refactor] clean avgpool2dderivatives
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,,Bug Fix,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,Dropout,Bug Fix,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,Training,Bug Fix,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,Convolutional,Bug Fix,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,,Feature,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,Dropout,Feature,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,Training,Feature,,performance bug fixes in models and layers  added combine_labels to utils\n/
zubara/mneflow,6f2269f656947020f173d5420f7680591f66716e,Convolutional,Feature,,performance bug fixes in models and layers  added combine_labels to utils\n/
f-dangel/backpack,65b2cdc6b98ed761674d6ba31c053c75564b40da,,Refactor,,attempt at refactoring diagggn using a generic jmp
f-dangel/backpack,65b2cdc6b98ed761674d6ba31c053c75564b40da,Pooling,Refactor,,attempt at refactoring diagggn using a generic jmp
f-dangel/backpack,65b2cdc6b98ed761674d6ba31c053c75564b40da,Convolutional,Refactor,,attempt at refactoring diagggn using a generic jmp
goldsborough/cytogan,0f0452a3888ba512082e037879bd0803d0fa62a6,Training,Bug Fix,,fixed behavior when no lr decay is given and decoder building
goldsborough/cytogan,0f0452a3888ba512082e037879bd0803d0fa62a6,Convolutional,Bug Fix,,fixed behavior when no lr decay is given and decoder building
SkafteNicki/libcpab,9b02bafada3fdbf25223d1590681baa21da95355,,Bug Fix,,smaller bug fix to tensorflow 1d interpolation
SkafteNicki/libcpab,9b02bafada3fdbf25223d1590681baa21da95355,Convolutional,Bug Fix,,smaller bug fix to tensorflow 1d interpolation
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,,Feature,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,Temporal,Feature,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,Activation,Feature,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,Convolutional,Feature,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,,Bug Fix,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,Temporal,Bug Fix,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,Activation,Bug Fix,,forecast average and correction on lstm
edniemeyer/keras_timeseries,a9abf97af374ce9a51c1f3b4230af69143fae08a,Convolutional,Bug Fix,,forecast average and correction on lstm
nerox8664/pytorch2keras,eec21c8263c3fede6bdf195b1be9dea32b50f9af,Pooling,Feature,,adding support for 3dconv and 3dmaxpool
nerox8664/pytorch2keras,eec21c8263c3fede6bdf195b1be9dea32b50f9af,Reshaping,Feature,,adding support for 3dconv and 3dmaxpool
nerox8664/pytorch2keras,eec21c8263c3fede6bdf195b1be9dea32b50f9af,Convolutional,Feature,,adding support for 3dconv and 3dmaxpool
matiaslindgren/lidbox,5442143ed3054aa3c190c531f3038d335c7d5d08,,Deprecate,,update cnn to resemble more the original
matiaslindgren/lidbox,5442143ed3054aa3c190c531f3038d335c7d5d08,Linear,Deprecate,,update cnn to resemble more the original
matiaslindgren/lidbox,5442143ed3054aa3c190c531f3038d335c7d5d08,Activation,Deprecate,,update cnn to resemble more the original
matiaslindgren/lidbox,5442143ed3054aa3c190c531f3038d335c7d5d08,Convolutional,Deprecate,,update cnn to resemble more the original
MichiganCOG/ViP,4f5abd0c598a32af273bf1d3e3e9c687e0bfecc8,,Feature,,update preprocessing crop and resize  and hgc3d loss
MichiganCOG/ViP,4f5abd0c598a32af273bf1d3e3e9c687e0bfecc8,Convolutional,Feature,,update preprocessing crop and resize  and hgc3d loss
osmr/imgclsmob,cd404b785c897239009231eb32fc551d546bd4df,,Refactor,,refactoring: add common conv-block for tf
osmr/imgclsmob,cd404b785c897239009231eb32fc551d546bd4df,Activation,Refactor,,refactoring: add common conv-block for tf
osmr/imgclsmob,cd404b785c897239009231eb32fc551d546bd4df,Convolutional,Refactor,,refactoring: add common conv-block for tf
veronicachelu/meta-learning,eb4bc1b2b072cf983a22ddfd7d5c23dd4fdfbd6e,,Feature,,added policy monitor in eval async procedure in different monitor thread
veronicachelu/meta-learning,eb4bc1b2b072cf983a22ddfd7d5c23dd4fdfbd6e,Convolutional,Feature,,added policy monitor in eval async procedure in different monitor thread
veronicachelu/meta-learning,eb4bc1b2b072cf983a22ddfd7d5c23dd4fdfbd6e,Training,Feature,,added policy monitor in eval async procedure in different monitor thread
veronicachelu/meta-learning,eb4bc1b2b072cf983a22ddfd7d5c23dd4fdfbd6e,Linear,Feature,,added policy monitor in eval async procedure in different monitor thread
veronicachelu/meta-learning,eb4bc1b2b072cf983a22ddfd7d5c23dd4fdfbd6e,Activation,Feature,,added policy monitor in eval async procedure in different monitor thread
veronicachelu/meta-learning,eb4bc1b2b072cf983a22ddfd7d5c23dd4fdfbd6e,Reshaping,Feature,,added policy monitor in eval async procedure in different monitor thread
osmr/imgclsmob,33c803c9ff0f56545a712dc8ec51c0aadf26381d,,Refactor,,refactoring simple group block and cw_conv2d in tf-channelnet
osmr/imgclsmob,33c803c9ff0f56545a712dc8ec51c0aadf26381d,Convolutional,Refactor,,refactoring simple group block and cw_conv2d in tf-channelnet
LoSealL/VideoSuperResolution,0cee1bf4627dc8bcbabd1174944fe6be5b0bdae1,,Refactor,,refactor version 1.0.0\n\n- refactor dataset  loader\n- move tf/torch models into vsr/backend
LoSealL/VideoSuperResolution,0cee1bf4627dc8bcbabd1174944fe6be5b0bdae1,Reshaping,Refactor,,refactor version 1.0.0\n\n- refactor dataset  loader\n- move tf/torch models into vsr/backend
LoSealL/VideoSuperResolution,0cee1bf4627dc8bcbabd1174944fe6be5b0bdae1,Convolutional,Refactor,,refactor version 1.0.0\n\n- refactor dataset  loader\n- move tf/torch models into vsr/backend
keras-team/keras,9f6fb452a231dc83468b9c3be29cd160af53ea9b,Convolutional,Bug Fix,,fix typo\n\nlooks like eec61d9 changed the stride from 1 to 2.
kerlomz/captcha_trainer,865ab3279e396ce0120e7a9d37bf4057003b05b5,,Feature,,feat: extracting neural networks to make them configurable.
kerlomz/captcha_trainer,865ab3279e396ce0120e7a9d37bf4057003b05b5,Pooling,Feature,,feat: extracting neural networks to make them configurable.
kerlomz/captcha_trainer,865ab3279e396ce0120e7a9d37bf4057003b05b5,Convolutional,Feature,,feat: extracting neural networks to make them configurable.
Mmmofan/YOLO_6D,e3964e124ad19edf0d6cc633b60a8a2000e0d0d2,,Feature,loss,net structure defined  working on loss func
Mmmofan/YOLO_6D,e3964e124ad19edf0d6cc633b60a8a2000e0d0d2,Pooling,Feature,loss,net structure defined  working on loss func
Mmmofan/YOLO_6D,e3964e124ad19edf0d6cc633b60a8a2000e0d0d2,Activation,Feature,loss,net structure defined  working on loss func
Mmmofan/YOLO_6D,e3964e124ad19edf0d6cc633b60a8a2000e0d0d2,Convolutional,Feature,loss,net structure defined  working on loss func
Zhaoyi-Yan/Shift-Net_pytorch,da118def7bfda6cf2536af1511466bb23a54b145,,Feature,,add conv1x1 at the end of densenet  strict=false weight loading'
Zhaoyi-Yan/Shift-Net_pytorch,da118def7bfda6cf2536af1511466bb23a54b145,Pooling,Feature,,add conv1x1 at the end of densenet  strict=false weight loading'
Zhaoyi-Yan/Shift-Net_pytorch,da118def7bfda6cf2536af1511466bb23a54b145,Convolutional,Feature,,add conv1x1 at the end of densenet  strict=false weight loading'
leohsuofnthu/Tensorflow-YOLACT,c630865b7ec3dd5b240ba04b7bfcec41cc26aa8a,Convolutional,Feature,,initial design for predicitonhead
kumar-shridhar/PyTorch-BayesianCNN,8e09995c701243fb16363b56ad3a165e3029390d,,Feature,,added resnet and wise resnet for non bayesian
kumar-shridhar/PyTorch-BayesianCNN,8e09995c701243fb16363b56ad3a165e3029390d,Convolutional,Feature,,added resnet and wise resnet for non bayesian
kumar-shridhar/PyTorch-BayesianCNN,8e09995c701243fb16363b56ad3a165e3029390d,Pooling,Feature,,added resnet and wise resnet for non bayesian
kumar-shridhar/PyTorch-BayesianCNN,8e09995c701243fb16363b56ad3a165e3029390d,Linear,Feature,,added resnet and wise resnet for non bayesian
kumar-shridhar/PyTorch-BayesianCNN,8e09995c701243fb16363b56ad3a165e3029390d,Activation,Feature,,added resnet and wise resnet for non bayesian
nshaud/DeepHyperX,b1563ef2b9e85880874704178f0b7f613e789311,,Feature,,add model from luo et al. using spectral-spatial features (icpr 2018)\n\ncombination of spectral-spatial features using 3d+2d convolutions.\n\nadd a custom implementation of the model.
nshaud/DeepHyperX,b1563ef2b9e85880874704178f0b7f613e789311,Convolutional,Feature,,add model from luo et al. using spectral-spatial features (icpr 2018)\n\ncombination of spectral-spatial features using 3d+2d convolutions.\n\nadd a custom implementation of the model.
nshaud/DeepHyperX,b1563ef2b9e85880874704178f0b7f613e789311,Initializer,Feature,,add model from luo et al. using spectral-spatial features (icpr 2018)\n\ncombination of spectral-spatial features using 3d+2d convolutions.\n\nadd a custom implementation of the model.
nshaud/DeepHyperX,b1563ef2b9e85880874704178f0b7f613e789311,Training,Feature,,add model from luo et al. using spectral-spatial features (icpr 2018)\n\ncombination of spectral-spatial features using 3d+2d convolutions.\n\nadd a custom implementation of the model.
nshaud/DeepHyperX,b1563ef2b9e85880874704178f0b7f613e789311,Linear,Feature,,add model from luo et al. using spectral-spatial features (icpr 2018)\n\ncombination of spectral-spatial features using 3d+2d convolutions.\n\nadd a custom implementation of the model.
nshaud/DeepHyperX,b1563ef2b9e85880874704178f0b7f613e789311,Activation,Feature,,add model from luo et al. using spectral-spatial features (icpr 2018)\n\ncombination of spectral-spatial features using 3d+2d convolutions.\n\nadd a custom implementation of the model.
mrahtz/ocd-a3c,65210f3843eb5d986e1ee338c14d6dc2219684fc,,Other,,switch to orthogonal initializers
mrahtz/ocd-a3c,65210f3843eb5d986e1ee338c14d6dc2219684fc,Convolutional,Other,,switch to orthogonal initializers
mrahtz/ocd-a3c,65210f3843eb5d986e1ee338c14d6dc2219684fc,Initializer,Other,,switch to orthogonal initializers
mrahtz/ocd-a3c,65210f3843eb5d986e1ee338c14d6dc2219684fc,Linear,Other,,switch to orthogonal initializers
mrahtz/ocd-a3c,65210f3843eb5d986e1ee338c14d6dc2219684fc,Activation,Other,,switch to orthogonal initializers
uncbiag/mermaid,9a7063ee397a75207150f7a6befaeb084d9a6485,,Feature,,some small modifications (also for config).
uncbiag/mermaid,9a7063ee397a75207150f7a6befaeb084d9a6485,Activation,Feature,,some small modifications (also for config).
uncbiag/mermaid,9a7063ee397a75207150f7a6befaeb084d9a6485,Convolutional,Feature,,some small modifications (also for config).
f-dangel/backpack,e27af73aa03f0c8472636285c6011fde1963ce54,,Other,,[add] use higher-order convolution for conv2d weight_jac_t
f-dangel/backpack,e27af73aa03f0c8472636285c6011fde1963ce54,Convolutional,Other,,[add] use higher-order convolution for conv2d weight_jac_t
f-dangel/backpack,40c3d8c16ffa2a2733159d8f8a36b8cf8ded60a1,,Feature,,use convtranspose module for jac_t (output shape)  add narrow
f-dangel/backpack,40c3d8c16ffa2a2733159d8f8a36b8cf8ded60a1,Convolutional,Feature,,use convtranspose module for jac_t (output shape)  add narrow
TensorSpeech/TensorFlowTTS,9ee8a198976014aa751afa2f55e1c85cb2007673,,Other,,\ud83d\ude80 add full flow-tts class model  remove flake8  use only black instead.
TensorSpeech/TensorFlowTTS,9ee8a198976014aa751afa2f55e1c85cb2007673,Linear,Other,,\ud83d\ude80 add full flow-tts class model  remove flake8  use only black instead.
TensorSpeech/TensorFlowTTS,9ee8a198976014aa751afa2f55e1c85cb2007673,Convolutional,Other,,\ud83d\ude80 add full flow-tts class model  remove flake8  use only black instead.
davidsandberg/facenet,2d08005c1041311b283beca0c68a80c050fcb4c9,,Feature,,added first version of the vgg face model. tried to set seed to get reproducible results.
davidsandberg/facenet,2d08005c1041311b283beca0c68a80c050fcb4c9,Normalization,Feature,,added first version of the vgg face model. tried to set seed to get reproducible results.
davidsandberg/facenet,2d08005c1041311b283beca0c68a80c050fcb4c9,Convolutional,Feature,,added first version of the vgg face model. tried to set seed to get reproducible results.
davidsandberg/facenet,2d08005c1041311b283beca0c68a80c050fcb4c9,Pooling,Feature,,added first version of the vgg face model. tried to set seed to get reproducible results.
davidsandberg/facenet,2d08005c1041311b283beca0c68a80c050fcb4c9,Activation,Feature,,added first version of the vgg face model. tried to set seed to get reproducible results.
benckx/DCGAN-for-psychonauts,53ef505e062a296771e4ea92a34d2283617d363d,Convolutional,Other,good example,explains why they are corrective. deconv and tarnspose are not same which people mistakenly use
ShangtongZhang/DeepRL,9c73abfbff24a360dcec1d503e980bd50c0bde92,,Refactor,refactoring leads to feature,major refactor to support lstm layer
ShangtongZhang/DeepRL,9c73abfbff24a360dcec1d503e980bd50c0bde92,Temporal,Refactor,refactoring leads to feature,major refactor to support lstm layer
ShangtongZhang/DeepRL,9c73abfbff24a360dcec1d503e980bd50c0bde92,Convolutional,Refactor,refactoring leads to feature,major refactor to support lstm layer
ShangtongZhang/DeepRL,9c73abfbff24a360dcec1d503e980bd50c0bde92,Linear,Refactor,refactoring leads to feature,major refactor to support lstm layer
ShangtongZhang/DeepRL,9c73abfbff24a360dcec1d503e980bd50c0bde92,Activation,Refactor,refactoring leads to feature,major refactor to support lstm layer
fancompute/wavetorch,518eda2372d0d7ca8a45b578342a3d04b18bc1c8,,Feature,,rho projection outside of time loop
fancompute/wavetorch,518eda2372d0d7ca8a45b578342a3d04b18bc1c8,Convolutional,Feature,,rho projection outside of time loop
LoSealL/VideoSuperResolution,687effde0176dde4f9ec29b859106daa7af50594,,Bug Fix,,[add] default convolution initializer in pytorch.\n[fix] carn add gradient clip
LoSealL/VideoSuperResolution,687effde0176dde4f9ec29b859106daa7af50594,Initializer,Bug Fix,,[add] default convolution initializer in pytorch.\n[fix] carn add gradient clip
LoSealL/VideoSuperResolution,687effde0176dde4f9ec29b859106daa7af50594,Convolutional,Bug Fix,,[add] default convolution initializer in pytorch.\n[fix] carn add gradient clip
LoSealL/VideoSuperResolution,687effde0176dde4f9ec29b859106daa7af50594,,Feature,,[add] default convolution initializer in pytorch.\n[fix] carn add gradient clip
LoSealL/VideoSuperResolution,687effde0176dde4f9ec29b859106daa7af50594,Initializer,Feature,,[add] default convolution initializer in pytorch.\n[fix] carn add gradient clip
LoSealL/VideoSuperResolution,687effde0176dde4f9ec29b859106daa7af50594,Convolutional,Feature,,[add] default convolution initializer in pytorch.\n[fix] carn add gradient clip
rwightman/pytorch-image-models,d59a756c167c2d996b7df086df5d2905aacc6ef9,,Refactor,,run pycharm autoformat on selecsls and change mix cap variables and model names to all lower
rwightman/pytorch-image-models,d59a756c167c2d996b7df086df5d2905aacc6ef9,Convolutional,Refactor,,run pycharm autoformat on selecsls and change mix cap variables and model names to all lower
tensorpack/tensorpack,0ffdcc44a9288057be69ef9328a16dcc9526fa69,,Deprecate,,accept tf.layers compatible argument names (#635)\n\n* use tflayers\r\n\r\n* some docs\r\n\r\n* use decorator for argument renaming\r\n\r\n* rename parse_args
tensorpack/tensorpack,0ffdcc44a9288057be69ef9328a16dcc9526fa69,Dropout,Deprecate,,accept tf.layers compatible argument names (#635)\n\n* use tflayers\r\n\r\n* some docs\r\n\r\n* use decorator for argument renaming\r\n\r\n* rename parse_args
