Project Name,Change Frequency,Commit Count
dd604/refinedet.pytorch,652,43
pudae/tensorflow-densenet,8,2
linjian93/tensorflow_homographynet,27,6
bubbliiiing/retinaface-pytorch,2,1
tinyalpha/mobileNet-v2_cifar10,10,1
Lyken17/Efficient-PyTorch,1,1
yezhengkai/ERINN,27,3
znxlwm/pytorch-pix2pix,4,3
AlonShoshan10/dynamic_net,1,1
arthurdouillard/incremental_learning.pytorch,1417,62
XingguangZhang/ConvLSTM,21,3
thu-coai/ecm,5,1
proauto/ML_Practice,2,1
titu1994/keras-non-local-nets,54,7
jx00109/siamese-lstm-for-sentence-similarity,31,1
prajjwal1/person-reid-incremental,29,6
omurammm/apex_dqn,28,5
YerevaNN/mimic3-benchmarks,105,16
taey16/pix2pix.pytorch,25,4
lidq92/CNNIQA,8,4
owenzlz/DeepImageBlending,86,2
KaiyangZhou/Dassl.pytorch,44,5
lucabergamini/VAEGAN-PYTORCH,134,6
jayleicn/TVRetrieval,1,1
talebolano/yolov3-network-slimming,22,5
dbolya/yolact,1228,155
adalca/neurite,809,95
arassadin/image-compression-benchmarking,2,1
Yonv1943/ElegantRL,2323,87
mklimasz/TransE-PyTorch,26,6
hassyGo/NLG-RL,86,6
oeway/pytorch-deform-conv,109,7
kefirski/bdir_vae,184,11
ooooverflow/chinese-ocr,1,1
KrisKorrel/sparsemax-pytorch,3,2
wzzzd/LSTM_captcha,22,1
duterscmy/ccks2019-ckbqa-4th-codes,28,3
SunnerLi/DeepFuse.pytorch,24,4
schatty/siamese-networks-tf,85,8
IBM/MAX-Text-Sentiment-Classifier,5,2
stephenhky/PyShortTextCategorization,213,35
tantara/PeerNets-pytorch,9,1
Deepcong2019/yolov3.keras,4,1
apacha/MusicScoreClassifier,132,25
activatedgeek/LeNet-5,67,10
oscarknagg/voicemap,397,45
mcahny/Deep-Video-Inpainting,18,5
Hironsan/keras-crf-layer,3,1
INCHEON-CHO/Dynamic_Model_Pruning_with_Feedback,34,1
vithursant/VAE-Gumbel-Softmax,49,3
tensorflow/graphics,1584,151
joelouismarino/amortized-variational-filtering,483,28
louiskirsch/speechT,282,50
ukayzm/opencv,16,2
mehtadushy/SelecSLS-Pytorch,104,2
xtudbxk/SEC-tensorflow,4,2
tristandeleu/pytorch-meta,217,62
NVlabs/geomapnet,8,1
zw76859420/ASR_Syllable,71,1
Grzego/handwriting-generation,30,1
art-programmer/PlaneNet,2107,84
abhaikollara/flare-archived,56,15
WynMew/AnimeFaceBoxes,4,2
CyberZHG/keras-self-attention,270,20
AaronX121/Soft-Decision-Tree,33,2
kobiso/CBAM-tensorflow-slim,5,2
Katexiang/CycleGAN,52,1
Jintao-Huang/EfficientDet_PyTorch,62,16
gpleiss/efficient_densenet_pytorch,343,36
funcwj/chime4-nn-mask,21,3
Edwardlzy/SRCNN,12,2
hucvl/dark-burst-photography,50,1
mpatacchiola/Y-AE,105,1
mvaldenegro/keras-uncertainty,51,7
Rowchen/pytorch-for-Text-Matching,45,3
georgeretsi/HTR-ctc,147,4
lucidrains/denoising-diffusion-pytorch,74,3
mseitzer/pytorch-fid,26,8
abdo-eldesokey/nconv,11,2
ShulinCao/OpenNRE-PyTorch,17,1
CreatCodeBuild/TF-Model-Service,9,4
GanKunlu/Gesture-recognition-using-Myo-in-Tensorflow-,16,1
yangbisheng2009/nsfw-resnet,8,1
go2sea/NoisyNetDQN,82,3
shivamsaboo17/NeuralArithmeticLogicalUnit-NALU,2,1
tkat0/PyTorch_BlazeFace,7,2
MengTianjian/enas-pytorch,1,1
sujitpal/dl-models-for-qa,19,1
fducau/AAE_pytorch,130,6
yselivonchyk/Tensorflow_WhatWhereAutoencoder,4,2
yuanyuanli85/Fast_Human_Pose_Estimation_Pytorch,63,5
tokestermw/tensorflow-shakespeare,185,19
tangbinh/machine-translation,15,3
dreamgonfly/BERT-pytorch,29,6
paarthneekhara/byteNet-tensorflow,218,16
zphang/adaptive-computation-time-pytorch,28,2
manojpawarsj12/accident-detection,4,1
xuyuwei/resnet-tf,30,2
lenscloth/RKD,16,1
mokemokechicken/reversi-alpha-zero,16,6
lipiji/neural-summ-cnndm-pytorch,417,12
codertimo/ConveRT-pytorch,16,3
bruceyang2012/Face-detection-with-mobilenet-ssd,28,1
martinResearch/DEODR,205,26
moskomule/senet.pytorch,164,20
hgstudent/las,27,8
GMvandeVen/continual-learning,183,6
pierluigiferrari/caffe_weight_converter,1,1
jamshedazhar/face_recognition,2,2
cxhernandez/molencoder,117,21
DuanYiqun/pytorch_implementation_of_Yolov1,64,3
barkm/torch-fenics,17,6
fepegar/unet,29,6
yueruchen/sppnet-pytorch,1,1
13952522076/Efficient_ImageNet_Classification,7,1
keras-team/keras-applications,2,2
roomylee/rcnn-text-classification,123,7
truskovskiyk/nima.pytorch,18,3
pymit/Rekognition,14,3
JihyongOh/FISR,1,1
JudeLee19/HMNet-End-to-End-Abstractive-Summarization-for-Meetings,75,10
Bihaqo/t3f,2164,290
ardeal/yolo_nano,2,2
chen0040/keras-text-summarization,220,32
IntelAI/models,3313,62
corenel/pytorch-adda,125,12
burness/neural_style_tensorflow,6,1
dnddnjs/feudal-montezuma,345,16
nouhadziri/THRED,97,3
JarnoRFB/incense,2,1
metrofun/E3D-LSTM,4,1
JoelKronander/TensorFlask,2,1
filipradenovic/cnnimageretrieval-pytorch,83,5
tscheepers/hred-attention-tensorflow,1163,62
carpedm20/word2vec-tensorflow,21,3
deepcs233/TIN,2,1
chanil1218/Attention-SE.pytorch,101,14
regel/loudml,143,18
emadboctorx/yolov3-keras-tf2,278,26
yifjiang/relative-depth-using-pytorch,283,19
oxfordcontrol/Bayesian-Optimization,84,9
seanie12/neural-question-generation,432,13
JJBOY/BMN-Boundary-Matching-Network,125,3
cheyang/tensorflow-sample-code,124,14
cameronfabbri/Wasserstein-GAN-Tensorflow,162,23
hengyuan-hu/rainbow,105,10
c0nn3r/RetinaNet,63,11
andreybicalho/vrpdr,70,9
anxiangsir/deeplabv3-Tensorflow,49,10
simontomaskarlsson/CycleGAN-Keras,22,8
mirapy-org/mirapy,51,19
kobiso/CBAM-tensorflow,4,2
noahfl/densenet-sdr,179,17
scientist1642/bombora,84,21
steven-lang/torch-utils,2,1
yuewang-cuhk/TAKG,4,1
L1aoXingyu/tensorflow-beginner,34,1
microsoft/hummingbird,360,51
themathgeek13/STdeblur,40,4
jimmyyfeng/TD-LSTM,190,2
mapbox/robosat,169,35
harishanand95/cxr_classification,143,7
toandaominh1997/EfficientDet.Pytorch,617,57
tsurumeso/vocal-remover,410,20
bzcheeseman/pytorch-rwa,211,19
lipiji/dialogue-hred-vhred,6,2
zbwglory/CMHSE,327,30
qibinc/RippleNet-PyTorch,65,2
sunsided/tensorflow-lstm-sin,97,5
jaxony/ShuffleNet,39,13
MingtaoGuo/sngan_projection_TensorFlow,7,1
SchindlerLiang/VAE-for-Anomaly-Detection,5,1
ChrisWaites/pyvacy,35,1
ypxie/pytorch-NeuCom,146,22
syshensyshen/pva-faster-rcnn-pytorch-1.0,791,28
suriyadeepan/rnn-from-scratch,64,4
Songweiping/GRU4Rec_TensorFlow,17,1
Erotemic/netharn,1251,151
kevinkwl/AoAReader,99,9
ltgoslo/simple_elmo_training,86,4
signatrix/efficientdet,115,3
taehoonlee/tensornets,297,42
youngwanLEE/centermask2,36,6
wbenbihi/hourglasstensorlfow,78,5
closest-git/ONNet,369,50
titu1994/tf_fourier_features,4,2
leVirve/pixel-styler,278,61
explosion/prodigy-recipes,11,3
marshallr3/Crop-Disease-Diagnosis,5,1
HandsomeHans/Tensorflow-preprocessing-training-testing,131,29
BlueWinters/DeepWarp,2,1
taki0112/SPADE-Tensorflow,5,1
ShoupingShan/Data_fusion_HSI_LiDAR,16,1
YerevaNN/R-NET-in-Keras,124,11
yongqyu/TCN,82,4
ImagingLab/Colorizing-with-GANs,328,55
kiudee/cs-ranking,609,68
hijkzzz/alpha-zero-gomoku,354,49
small-yellow-duck/keras-frcnn,268,19
ykamikawa/tf-keras-SegNet,163,7
ruohoruotsi/LSTM-Music-Genre-Classification,33,9
lturing/tacotronv2_wavernn_chinese,109,7
andabi/music-source-separation,171,15
fastaudio/fastaudio,11,5
Hironsan/anago,735,71
enriccorona/GanHand,2,1
maciejczyzewski/batchboost,51,2
ksanjeevan/dourflow,180,8
dkarunakaran/facenet_mtcnn_tensorflow_inference_engine,1,1
HaberGroup/SemiImplicitDNNs,1,1
PaulChongPeng/YOLO2TensorFlow,93,5
aws/sagemaker-tensorflow-serving-container,3,1
ryokamoi/original_textvae,1,1
jadehh/SSD-Tensorflow2.0,33,8
qubvel/classification_models,141,12
Garoe/tf_mvg,66,4
yearing1017/PyTorch_Note,71,6
360er0/COMBO,5,1
mrkulk/deepQN_tensorflow,198,9
AllenCellModeling/pytorch_fnet,367,64
applied-ai-lab/genesis,78,7
parasj/contracode,572,84
google/prettytensor,411,18
drckf/paysage,99,22
dongjun-Lee/text-classification-models-tf,11,1
luizgh/avc_nips_2018,14,2
baiksung/L2F,243,23
jihunchoi/shortcut-stacked-encoder-pytorch,12,2
shinseung428/Colorization_Tensorflow,128,8
kweisamx/TensorFlow-ESPCN,66,8
YixuanLi/densenet-tensorflow,29,7
JaveyWang/Pyramid-Attention-Networks-pytorch,59,2
BlackHC/toma,5,2
JiaxinZhuang/Skin-Lesion-Recognition.Pytorch,431,24
daili0015/ModelFeast,65,15
CyberZHG/keras-adabound,46,3
LayneH/MRCNN,79,3
open-mmlab/mmclassification,65,18
vishal1796/pytorch-fast-neural-style,40,8
ceykmc/pytorch_model_summary,69,8
ianburkeixiv/Python-TensorFlow-WebApp,43,6
gcucurull/neural-art-transfer,1,1
few-shot-learning/Keras-FewShotLearning,865,87
dlebech/lyrics-generator,35,5
oval-group/ali-g,29,1
FrankWork/conv_relation,346,36
lingyongyan/Neural-Machine-Translation,29,4
titu1994/progressive-neural-architecture-search,172,7
xxxnell/semantic-segmentation-zoo,394,49
timy90022/One-Shot-Object-Detection,2,1
titu1994/Keras-Classification-Models,10,2
longcw/faster_rcnn_pytorch,97,10
lonePatient/BERT-chinese-text-classification-pytorch,21,1
FlyingCarrot/SPGAN_pytorch,176,3
tensorflow/moonlight,84,13
tangyuhao/GOTURN-Tensorflow,90,11
ylshaooo/keras-zero-shot-detection,212,8
masataka46/BiGAN,5,1
hereszsz/thundernet-tensorflow2.0,8,1
alexandrosstergiou/keras-DepthwiseConv3D,28,6
wanglouis49/pytorch-weights_pruning,31,13
kritiksoman/GIMP-ML,20,4
NREL/nfp,184,11
BlindAssist/blindassist-scripts,23,3
yuanxiaosc/Deep_dynamic_contextualized_word_representation,15,1
ndl-lab/tensorflow-deeplab-v3-plus,201,32
hao-qiang/pix2pix_keras,7,2
huyingxi/new-LSTM-Cell,12,2
mkocabas/focal-loss-keras,20,5
LeeDongYeun/keras-m2det,27,4
ekagra-ranjan/AE-CNN,19,1
andrewliao11/dni.pytorch,59,5
MasashiSode/fairtorch,74,15
criteo-research/CausE,34,2
lmbxmu/FilterSketch,192,15
naturomics/SCAN-tensorflow,44,6
CuriousAI/mean-teacher,2,1
pucktada/cutkum,101,6
neccam/TF-DeepHand,5,1
zoharli/SRGAN-tensorflow,107,10
Daniil-Osokin/fully-learnable-group-convolution.pytorch,6,2
Sleepwalking/pytorch-softdtw,13,2
udacity/CarND-Alexnet-Feature-Extraction,31,6
zhoudaxia233/EfficientUnet-PyTorch,21,4
machrisaa/tensorflow-vgg,73,5
G-Wang/WaveRNN-Pytorch,120,9
nguyenvo09/Double-Attention-Network,3,1
Yang7879/3D-RecGAN,6,1
lliuz/ARFlow,12,4
benedekrozemberczki/M-NMF,6,1
vitorarins/captcha-breaker,297,13
brightmart/bert_language_understanding,114,17
namakemono/cifar10-tensorflow,162,16
yeoedward/Robust-Fill,130,31
kyzhouhzau/BERT-NER,40,2
artix41/ALFI-pytorch,95,4
jiwidi/las-pytorch,181,23
charlesCXK/PyTorch_Semantic_Segmentation,30,2
sumedhpendurkar/Normalized-X-Corr-Model,89,20
flrngel/TCN-with-attention,8,2
vy007vikas/PyTorch-PtrNet,50,7
deepfakes/faceswap,1030,69
nadavbh12/Character-Level-Language-Modeling-with-Deeper-Self-Attention-pytorch,63,9
oxwhirl/treeqn,5,3
andi611/ZeroSpeech-TTS-without-T,631,81
dhgrs/pytorch-UniWaveNet,66,12
xuannianz/SAPD,28,1
baidu-research/NCRF,4,2
Conchylicultor/MusicGenerator,207,31
obitolyz/Online-Vehicle-Routing-DRL,113,14
gugug/TensorFlow_DNN_Character_Classification,16,1
SQMah/YOLOv3-Plate-Detection,13,3
SConsul/Global_Convolutional_Network,44,7
salu133445/musegan,301,13
philipperemy/speaker-change-detection,10,4
keishinkickback/Pytorch-RNN-text-classification,34,4
raeidsaqur/CapsGAN,292,12
Hirosora/LightCTR,107,6
adiyoss/GCommandsPytorch,60,7
xuanyuan14/CACM-master,17,2
bravotty/SKNet-tensorflow,2,1
YeongHyeon/R-CNN_LIGHT,68,8
BlackBindy/MNIST-invert-color,50,3
FeiYee/ResNet-TensorFlow,24,6
hwalsuklee/tensorflow-fast-style-transfer,28,3
tohinz/ConSinGAN,69,11
carpedm20/BEGAN-pytorch,49,6
iKintosh/GaborNet,115,5
KevinMusgrave/pytorch-metric-learning,1008,111
Zackory/Keras-MNIST-GAN,38,3
google/mentornet,3,1
YangZhongy/TrafficLights_control_pytorch_rl,31,2
xiaochus/YOLOv3,10,3
j-min/PixelCNN,24,1
tensorboy/pytorch_Realtime_Multi-Person_Pose_Estimation,7,2
cedias/HAN-pytorch,56,7
DQ0408/SphereFace-TensorFlow,16,1
stephen-v/zh-NER-keras,2,1
SimonBlanke/Hyperactive,70,20
estnltk/estnltk,9,2
justinshenk/fer,15,9
paxcema/KerasGRU4Rec,20,5
kirilcvetkov92/Semantic-Segmentation-BiSeNet,11,2
astorfi/sequence-to-sequence-from-scratch,116,18
bamtercelboo/pytorch_word2vec,29,1
AlfredXiangWu/LightCNN,24,3
Sleepychord/ImprovedGAN-pytorch,146,8
KleinYuan/tf-segmentation,42,4
makalo/CornerNet,6,1
bashhike/video-action-recognition,38,5
lorenzMuller/kernelNet_MovieLens,4,1
blacknwhite5/pytorch-two-stream-CNN,87,3
Scitator/YATS2S,638,36
Luomiou/keras-bert-,3,1
Nikronic/ObjectNet,38,4
e2crawfo/auto_yolo,1162,67
Salon-sai/learning-tensorflow,566,34
jackyko1991/vnet-tensorflow,1458,87
MIVRC/MSRN-PyTorch,18,2
pyk/hsr,2,1
dbiir/UER-py,258,51
python-engineer/pytorch-chatbot,5,3
tokb23/dqn,178,15
ChiWeiHsiao/DeepVO-pytorch,165,30
drcut/FFM-tensorflow,55,4
hiwonjoon/maml-tensorflow,42,5
MG2033/MobileNet,30,9
borchero/pycave,25,4
carpedm20/text-based-game-rl-tensorflow,44,8
moment-of-peace/EventForecast,72,8
moono/stylegan-reproduced,835,43
imito/odin-ai,3189,290
seungwonpark/melgan,273,22
hehaodele/GatedFeedback-LSTM.pytorch,2,2
GuoYi0/alphaFive,164,13
guoyang9/ALSTP,11,1
facebookresearch/maskrcnn-benchmark,256,40
shagunsodhani/pregel,59,13
tuan3w/cnn_vocoder,5,3
wenxichen/tensorflow_yolo2,327,27
zrl4836/tensorflow_octConv,8,4
jwyang/graph-rcnn.pytorch,338,32
tkipf/pygcn,20,5
LantaoYu/Residual-Networks,37,2
larry0123du/PyTorch-Deep-Compression,20,1
tomrunia/PyTorchSteerablePyramid,184,14
jdasam/online_amt,25,3
ucam-smt/sgnmt,147,22
donghyeonk/match-lstm,216,21
jandylin/DFANet_PyTorch,128,16
NeroLoh/darts-tensorflow,173,7
alterzero/DBPN-Pytorch,40,2
jacobgil/pytorch-tensor-decompositions,21,1
wangguanan/Pytorch-Image-Translation-GANs,3,1
rish-16/gpt2client,9,3
DetectionTeamUCAS/R2CNN-Plus-Plus_Tensorflow,35,1
zudi-lin/pytorch_connectomics,463,71
SeisNN/SeisNN,579,41
roytseng-tw/Detectron.pytorch,1936,185
benedekrozemberczki/AttentionWalk,39,4
keiserlab/keras-neural-graph-fingerprint,90,14
BayesWatch/pytorch-prunes,4,1
Bugdragon/YOLO_v3_PyTorch,56,9
MaybeShewill-CV/nsfw-classification-tensorflow,201,23
shashanktyagi/HyperFace-TensorFlow-implementation,637,24
HasnainRaz/Skin-Segmentation-TensorFlow,8,2
timctho/convolutional-pose-machines-tensorflow,89,5
pannous/tensorflow-ocr,12,4
Urinx/alphafold_pytorch,1,1
fmu2/NICE,4,1
yangli18/hand_detection,5,1
ihciah/deep-fashion-retrieval,130,16
kwea123/VTuber_Unity,1,1
mynlp/cst_captioning,186,16
LeeRel1991/faceAlignment_tensorflow,140,12
alessandrosp/multi_view_network,78,10
audeering/audtorch,7,2
eambutu/snail-pytorch,65,5
gifford-lab/Keras-genomics,29,6
JingqingZ/BaiduTraffic,105,7
bill-kalog/rnn_sent,728,38
StacyYang/gluoncv-torch,1,1
alvinwan/neural-backed-decision-trees,556,140
gautierdag/pytorch-attentive-lm,213,47
1Konny/FactorVAE,335,22
YantaoShen/openBCT,50,4
euclidjda/deep-quant,285,46
cftang0827/pedestrian-detection-ssdlite,2,1
lukepark327/keras-only-RL,69,11
kerlomz/captcha_platform,110,15
zsdonghao/u-net-brain-tumor,15,6
YingzhenLi/vae_renyi_divergence,4,1
xiongzihua/pytorch-YOLO-v1,46,5
snowkylin/rnn-handwriting-generation,95,5
linbo0518/BLSeg,241,51
Lapis-Hong/TransE-Knowledge-Graph-Embedding,58,3
mtobeiyf/audio-classification,10,2
insilicomedicine/fcd_torch,1,1
TianzhongSong/Person-Segmentation-Keras,2,1
dangitstam/topic-rnn,160,40
hashbangCoder/Neural-Conversational-Model,40,3
lbeaucourt/Object-detection,3,1
R-Stalker/deep_learning_estimator_labels,4,1
ZeWang95/DCFNet-Pytorch,17,6
ikostrikov/TensorFlow-VAE-GAN-DRAW,33,5
kevinzakka/NALU-pytorch,77,7
ikhlestov/vision_networks,21,5
DingKe/pytorch_workplace,162,13
JiasiWang/pytorch-lstd,503,62
xiaochus/MSCNN,3,1
charlesq34/pointnet2,32,8
david8862/keras-YOLOv3-model-set,2159,168
Justin-Tan/generative-compression,74,6
yaysummeriscoming/DNS_and_INQ,25,1
kamenbliznashki/normalizing_flows,12,2
andy-yangz/nlp_multi_task_learning_pytorch,68,8
podgorskiy/ALAE,748,83
Koziev/chatbot,637,47
JiachengLi1995/TiSASRec,12,2
ItchyHiker/Mobile_Portrait_Matting_PyTorch,8,1
Ryo-Ito/spatial_transformer_network,46,2
guokr/Brief,128,18
keras-team/keras-cv,125,7
johnnylu305/Simple-does-it-weakly-supervised-instance-and-semantic-segmentation,75,8
chxj1992/captcha_cracker,1,1
diffgram/diffgram,6,2
igormq/aes-lac-2018,733,119
leaderj1001/Synthesizer-Rethinking-Self-Attention-Transformer-Models,1,1
chuckyee/dilated-densenet,35,9
GlassyWing/transformer-keras,1,1
clcarwin/focal_loss_pytorch,3,1
donlee90/icarl,9,1
Newcomer520/tf-dagmm,75,6
lucidrains/routing-transformer,22,5
rwightman/pytorch-pretrained-gluonresnet,5,2
DeadAt0m/adafactor-pytorch,55,3
taku-buntu/Keras-DCGAN-killmebaby,2,1
parasj/checkmate,90,18
croquelois/BlackScholesMC-TF,31,1
yule-li/MassFace,51,3
keiohta/tf2rl,1845,203
deepsound-project/pggan-pytorch,48,13
MarvinTeichmann/ConvCRF,7,3
jonasrauber/eagerpy,3,2
Yukariin/CSA_pytorch,56,8
wangz10/tensorflow-playground,168,9
DequanZhu/FaceNet-and-FaceLoss-collections-tensorflow2.0,5,3
mihahauke/deep_rl_vizdoom,601,55
jongwook/onsets-and-frames,57,10
harry-7/speech-emotion-recognition,39,3
zimmerrol/attention-is-all-you-need-keras,66,3
jonasrothfuss/DeepEpisodicMemory,950,170
HelloRicky123/Siamese-RPN,13,5
Toon-It/Cartoonizer,26,5
yeephycho/tensorflow_input_image_by_tfrecord,39,8
ahmdtaha/tf_retrieval_baseline,252,16
threelittlemonkeys/rnn-encoder-decoder-pytorch,111,19
foamliu/FaceNet,126,39
keshik6/deep-image-retrieval,151,18
iArunava/Malaria-Detection-using-Keras,2,1
Confusezius/Revisiting_Deep_Metric_Learning_PyTorch,3,2
beala/deep-image-prior-tensorflow,5,1
tongjinle123/speech-transformer-pytorch_lightning,175,14
MingtaoGuo/CycleGAN,2,1
JorgeCeja/food101-tensorflow,13,4
dougsm/mvp_grasp,39,5
gsp-27/pytorch_Squeezenet,26,8
XuyangBai/PPF-FoldNet,137,29
akshaylamba/FasterRCNN_KERAS,490,32
qlan3/Explorer,169,30
COGMAR/RotEqNet,23,3
cardwing/Codes-for-IntRA-KD,4,1
VCL3D/HyperSphereSurfaceRegression,2,1
hs2k/pytorch-smoothgrad,20,1
dagcilibili/variational-autoencoder,1,1
chen0040/keras-audio,36,7
MasazI/audio_classification,32,4
OFRIN/Tensorflow_RetinaFace,4,1
budui/Human-Pose-Transfer,514,41
gliese581gg/A3C_tensorflow,2,1
hehefan/video-classification,1,1
DongjunLee/dmn-tensorflow,249,15
aleju/face-comparer,515,11
blackredscarf/pytorch-SkipGram,6,4
LavieLuo/DRMEA,1,1
aitorzip/PyTorch-SRGAN,72,6
rubenwiersma/hsn,2,1
bolunwang/translearn,54,3
bkj/pytorch-graphsage,487,41
peteryuX/arcface-tf2,9,4
dhwajraj/deep-text-classifier-mtl,25,10
mf1024/Contrastive-Predictive-Coding-for-Image-Recognition-in-PyTorch,367,22
liusiqi43/tf-mixer,36,3
osalinasv/lipnet,63,24
ElementAI/multithreaded-estimators,1,1
jsikyoon/adv_attack_capsnet,2,1
arnomoonens/yarll,3862,166
mattiaspaul/OBELISK,337,4
Leonard-Niu/Facial-Expression-Recognition,1,1
KristianHolsheimer/keras-gym,1038,98
BaderLab/saber,581,83
npow/AutoRec,6,1
vita-epfl/monoloco,195,36
israelg99/eva,114,43
dhingratul/Stock-Price-Prediction,4,3
flyyufelix/cnn_finetune,107,2
PaParaZz1/CariGANs,33,2
tancik/StegaStamp,12,1
ShayanPersonal/stacked-autoencoder-pytorch,13,3
tf-coreml/tf-coreml,237,34
openvinotoolkit/model_server,110,39
mahfujau/domain_adaptation_iccv15,76,6
liliangqi/person_search,217,34
CommissarMa/pytorch-CRAFT,1,1
TheShadow29/zsgnet-pytorch,63,12
faizan2786/nalu_implementation,62,6
benedekrozemberczki/APPNP,91,4
Confusezius/ICCV2019_MIC,5,1
taokong/FoveaBox,622,103
zylo117/Yet-Another-EfficientDet-Pytorch,93,23
CoinCheung/DeepLab-v3-plus-cityscapes,82,8
KellerJordan/TriMap-PyTorch,9,3
hujinsen/pytorch-StarGAN-VC,31,2
kpe/bert-for-tf2,131,23
Irvinglove/MP-CNN-Tensorflow-sentence-similarity,67,1
ImadEddineBek/Tri-Loss-Unsupervised,26,4
yifita/deep_cage,89,2
Hguimaraes/gtzan.keras,313,15
mozilla/bugbug,41,3
epwalsh/pytorch-crf,124,29
gupta-abhay/pytorch-frn,30,3
arnavkj1995/face_inpainting,3,1
baoblackcoal/RFR-solution,58,10
philipperemy/tensorflow-maxout,18,3
HasnainRaz/FC-DenseNet-TensorFlow,72,8
lovish1234/YOLOv1,16,2
baoy-nlp/FAParser,10,1
csxeba/trickster,748,60
awentzonline/pytorch-cns,153,26
toodef/neural-pipeline,393,90
fmahoudeau/MiCT-Net-PyTorch,9,1
L42Project/Tutoriels,45,2
bertini36/GMM,1110,42
davidalvarezdlt/samplernn_pase,115,13
dmmiller612/sparktorch,74,17
sunshineatnoon/PytorchWCT,112,3
sunshineatnoon/Darknet.keras,22,7
kumar-shridhar/PyTorch-BayesianCNN,1495,123
uber-research/sbnet,42,4
fizyr/keras-retinanet,2159,300
saic-vul/iterdet,1322,180
nashory/text2image-benchmark,4,1
khj250276857/FCN-registration,108,16
arose13/rosey,20,2
qhduan/Seq2Seq_Chatbot_QA,80,7
vlarine/ruberta,102,1
zhaogaofeng611/TextMatch,15,2
geonm/tf_ms_loss,30,3
Sampson-Lee/myDRGAN,139,4
aliutkus/torchinterp1d,14,6
bknyaz/sgg,18,4
daiquocnguyen/Graph-Transformer,42,3
hirokiyokoyama/tracking_via_colorizing,611,49
tychovdo/MovingMNIST,7,3
frotms/image_classification_pytorch,5,3
tegg89/SRCNN-Tensorflow,62,3
faustomorales/keras-ocr,192,14
jiaxue1993/pytorch-material-classification,34,4
rupeshs/neuralsongstyle,18,1
sergiomsilva/alpr-unconstrained,1,1
moskomule/introvae.pytorch,3,1
caogang/wgan-gp,145,17
neka-nat/image_completion_tf2,110,9
shahabty/PSPNet-Pytorch,10,1
toru34/tf_optimizers,28,2
calvinschmdt/EasyTensorflow,10,1
pangwong/pytorch-multi-label-classifier,50,10
wangguanan/Pytorch-Person-ReID-Baseline-PCB-Beyond-Part-Models,22,6
NanoNets/RaspberryPi-ObjectDetection-TensorFlow,6,3
imdeep2905/Neural-Network-Sandbox,21,10
alimirzaei/adverserial-autoencoder-keras,113,15
Madonahs/Machine-Learning,20,3
Natsu6767/DCGAN-PyTorch,64,6
miraclewkf/SENet-PyTorch,17,2
pannous/tensorpeers,1,1
gengyanlei/ssgan,33,2
hichenway/stock_predict_with_LSTM,28,6
Joyako/DeepLab-v3_plus_PyTorch,169,26
ceyzaguirre4/NSM,99,4
MillionIntegrals/vel,608,91
jayparks/quasi-rnn,227,16
GunhoChoi/DiscoGAN-TF,4,2
xyj77/MCF-3D-CNN,54,4
Bingohong/GroupNormalization-tensorflow-keras,8,1
barronalex/Dynamic-Memory-Networks-in-TensorFlow,414,29
Fen9/WReN,25,6
igormq/asr-study,410,39
cahya-wirawan/text-classification,29,4
HPI-DeepLearning/crnn-lid,595,74
MarkYangjiayi/WAGEUBN-pytorch,21,2
graytowne/rank_distill,2,1
ShafeenTejani/fast-style-transfer,26,6
nilboy/colorization-tf,2,1
liviniuk/DORN_depth_estimation_Pytorch,19,3
HsiaoYetGun/ESIM,5,1
vanzytay/WSDM2018_HyperQA,20,2
Harry24k/adversarial-attacks-pytorch,284,20
NVlabs/MUNIT,111,9
timgaripov/swa,8,1
adler-j/minimal_vae,10,2
guoruoqian/DetNet_pytorch,19,2
ishalyminov/multitask_disfluency_detection,819,78
nimarb/pytorch_influence_functions,3,1
kanezaki/pytorch-unsupervised-segmentation,10,4
skyhehe123/VoxelNet-pytorch,1,1
tomrunia/TF_FeatureExtraction,4,2
felixBrave/ocr_chinese,3,1
snakeztc/NeuralDialog-LaRL,25,3
Tralfazz/RE-VERB,66,14
yuhui-lin/text-classification,174,15
shinjayne/shinTB,25,2
wangyuxin87/ContourNet,6,1
Shawn1993/cnn-text-classification-pytorch,73,23
lw396285v/CSP-pedestrian-detection-in-pytorch,52,4
mohit-sh/Adversarial-Semisupervised-Semantic-Segmentation,682,27
keshik6/pascal-voc-classification,40,4
fangchangma/sparse-to-dense.pytorch,51,8
KinglittleQ/GST-Tacotron,44,5
taoyilee/Keras_MedicalImgAI,87,28
Randl/improved-improved-wgan-pytorch,124,9
pytorch/extension-cpp,39,3
CharlesShang/TFFRCNN,713,33
jettify/pytorch-inspect,17,4
karush17/CapsNet-1D,23,1
jonzhaocn/cnnmrf-pytorch,57,4
XuecaiHu/Meta-SR-Pytorch,47,9
facebookresearch/fairscale,612,76
guanfuchen/facedet,11,2
tf-dl-workshop/tf-text-workshop,44,3
hellochick/Indoor-segmentation,24,2
jostmey/MaxSnippetModel,15,2
xiaoming-qxm/inception,7,1
titu1994/Snapshot-Ensembles,69,14
AaronHeee/Neural-Attentive-Item-Similarity-Model,87,8
IssamLaradji/GP_DRF,59,1
Tetratrio/stylegan2_pytorch,17,7
rwightman/pytorch-planet-amazon,212,28
